cell,x_m,y_m,depth_m,pressure_bar,H2_kg_m3_pore_fluid,gas_saturation,aqueous_H2_salt_free_mole_fraction,salinity_molal,darcy_x_m_day,darcy_y_m_day,darcy_z_m_day
0,0.3333333333333333,0.3333333333333333,0.19425019425019427,122.2951328005044,6.92274497432563e-05,0.0,6.677740604159545e-07,4.500003004566848,7.4705405251232015,7.4705405251232015,7.483795134191377
1,1.0,0.3333333333333333,0.19425019425019427,121.71104378829837,0.00032665590846215785,0.0,3.151019693214028e-06,4.500014179296471,5.094741107863086,2.613264040108232,1.246209951625703
2,1.6666666666666667,0.3333333333333333,0.19425019425019427,121.49846158477918,0.001034095879357566,0.0,9.975232242433377e-06,4.500044888685036,2.7189416906029713,1.9850759766073158,0.4276665434388665
3,0.3333333333333333,1.0,0.19425019425019427,121.71104378829837,0.00032665590846215785,0.0,3.151019693214028e-06,4.500014179296471,2.613264040108232,5.094741107863086,1.246209951625703
4,1.0,1.0,0.19425019425019427,121.50672405980119,0.0006946493785683396,0.0,6.700831790500575e-06,4.50003015349324,2.3520088336051437,2.3520088336051437,0.6090037848144497
5,1.6666666666666667,1.0,0.19425019425019427,121.34325714375764,0.001331928461041217,0.0,1.2848278028792768e-05,4.500057817556735,2.0907536271020555,2.2853359428181284,0.8684421000329653
6,0.3333333333333333,1.6666666666666667,0.19425019425019427,121.49846158477918,0.001034095879357566,0.0,9.975232242433377e-06,4.500044888685036,1.9850759766073158,2.7189416906029713,0.4276665434388665
7,1.0,1.6666666666666667,0.19425019425019427,121.34325714375764,0.0013319284610412172,0.0,1.284827802879277e-05,4.500057817556735,2.2853359428181284,2.0907536271020555,0.8684421000329653
8,1.6666666666666667,1.6666666666666667,0.19425019425019427,121.14110066587095,0.0017039404382761536,0.0,1.6436935550189727e-05,4.500073967117794,2.5855959090289415,2.5855959090289415,3.0135318109243183
9,0.3333333333333333,0.3333333333333333,0.5827505827505828,121.99873018195984,0.00021897652344537126,0.0,2.112289673391506e-06,4.500009504857778,3.8355942045999414,3.8355942045999414,5.248640936421592
10,1.0,0.3333333333333333,0.5827505827505828,121.69884178397126,0.0005794578130658965,0.0,5.58961492270405e-06,4.5000251530989885,3.0387668348842922,2.2419361035438445,1.0573266889648978
11,1.6666666666666667,0.3333333333333333,0.5827505827505828,121.5235543060127,0.0013379992885830607,0.0,1.2906745884775862e-05,4.500058080646731,2.241939465168643,2.241941957518869,0.4276663818699648
12,0.3333333333333333,1.0,0.5827505827505828,121.69884178397126,0.0005794578130658965,0.0,5.58961492270405e-06,4.5000251530989885,2.2419361035438445,3.0387668348842922,1.0573266889648978
13,1.0,1.0,0.5827505827505828,121.5235545688435,0.0009491184938209108,0.0,9.155508251550805e-06,4.500041199721828,2.241940711343756,2.241940711343756,0.6090035686129287
14,1.6666666666666667,1.0,0.5827505827505828,121.34826663318813,0.0015125494567927139,0.0,1.4590594629115996e-05,4.500065658304228,2.2419453191436673,3.038797935126902,1.0573265576003583
15,0.3333333333333333,1.6666666666666667,0.5827505827505828,121.5235543060127,0.0013379992885830607,0.0,1.2906745884775862e-05,4.500058080646731,2.241941957518869,2.241939465168643,0.4276663818699648
16,1.0,1.6666666666666667,0.5827505827505828,121.34826663318813,0.0015125494567927139,0.0,1.4590594629115996e-05,4.500065658304228,3.038797935126902,2.2419453191436673,1.0573265576003583
17,1.6666666666666667,1.6666666666666667,0.5827505827505828,121.04837356688064,0.0017394024375790653,0.0,1.677907530186312e-05,4.500075506772091,3.835653912734935,3.835653912734935,5.2487899635852715
18,0.3333333333333333,0.3333333333333333,0.9712509712509713,121.90600666576528,0.0005909052517471637,0.0,5.699992500333072e-06,4.500025649804005,2.585574688863701,2.585574688863701,3.013486738651807
19,1.0,0.3333333333333333,0.9712509712509713,121.70385184699084,0.0010586492607978838,0.0,1.0211996720249775e-05,4.5000459541322755,2.2853273744082268,2.0907511119437627,0.8684434263040925
20,1.6666666666666667,0.3333333333333333,0.9712509712509713,121.54864708671032,0.0018416217430704876,0.0,1.776476191217882e-05,4.500079942407543,1.985080059952752,2.7189538364411363,0.4276662203010631
21,0.3333333333333333,1.0,0.9712509712509713,121.70385184699084,0.0010586492607978838,0.0,1.0211996720249775e-05,4.5000459541322755,2.0907511119437627,2.2853273744082268,0.8684434263040925
22,1.0,1.0,0.9712509712509713,121.54038512759656,0.0014048007415811334,0.0,1.3551117645321649e-05,4.5000609804088985,2.352016948196944,2.352016948196944,0.6090033524114077
23,1.6666666666666667,1.0,0.9712509712509713,121.33606393356096,0.0018521352524353003,0.0,1.786632859344176e-05,4.500080399468954,2.613282784450125,5.094860517380678,1.2462110151677512
24,0.3333333333333333,1.6666666666666667,0.9712509712509713,121.54864708671032,0.0018416217430704876,0.0,1.776476191217882e-05,4.500079942407543,2.7189538364411363,1.985080059952752,0.4276662203010631
25,1.0,1.6666666666666667,0.9712509712509713,121.33606393356096,0.0018521352524353003,0.0,1.786632859344176e-05,4.500080399468954,5.094860517380678,2.613282784450125,1.2462110151677512
26,1.6666666666666667,1.6666666666666667,0.9712509712509713,120.75195719876534,0.001869237417766793,0.0,1.803172109394643e-05,4.500081143810996,7.470767198320219,7.470767198320219,7.484048116246224
