time_days,pressure_min_bar,pressure_max_bar,generated_H2_kg,unreacted_accessible_Fe_kg,free_H2_kg,dissolved_H2_kg,gas_H2_out_kg,aqueous_H2_out_kg,max_gas_saturation,salinity_min_molal,salinity_max_molal,outlet_H2_mol_per_mol_water,separator_gas_H2_rate_kg_day,separator_H2_available_kg,collected_H2_kg,gross_electricity_kwh,H2_kg,native_H2_kg,H2_in_kg,H2_out_kg,H2_balance_kg,H2_exact_balance_kg,H2O_kg,native_H2O_kg,H2O_in_kg,H2O_out_kg,H2O_balance_kg,H2O_exact_balance_kg,NaCl_kg,native_NaCl_kg,NaCl_in_kg,NaCl_out_kg,NaCl_balance_kg,NaCl_exact_balance_kg
0.0,119.91084863636364,120.0,0.0,591.8704060000002,0.0,1.8285296483402113e-08,0.0,0.0,0.0,4.499999999999996,4.499999999999996,0.0,0.0,0.0,0.0,0.0,1.8285296483402113e-08,1.828539354470271e-08,0.0,0.0,0.0,0.0,1511.55874160424,1511.5587416111318,0.0,0.0,0.0,0.0,397.528763507227,397.5287635003351,0.0,0.0,0.0,0.0
1e-06,119.94114835564847,120.48143429095607,1.3524410610102747e-08,591.8704048760185,0.0,3.180970780450189e-08,0.0,3.4740415853612483e-15,0.0,4.500000000359791,4.500000000359833,1.8806673165755196e-10,0.0,0.0,0.0,0.0,3.180970780450189e-08,3.180987737443052e-08,7.669366680254535e-14,3.4740415853612483e-15,-1.5385559393486315e-22,-7.25086281885705e-14,1511.5649162695663,1511.5649162764591,0.00633986805907073,0.00016508186853152968,1.3524771580453177e-13,-7.742469859683965e-13,397.53038743030265,397.53038742340993,0.0016673383844754586,4.3415309820485995e-05,1.619850087397623e-13,1.0146362916518825e-12
2.4999999999999998e-06,120.03036406323453,120.78227802127141,3.381102647710067e-08,591.870403190046,0.0,5.209630106705795e-08,0.0,3.7276455725264764e-14,0.0,4.500000000899374,4.500000000899586,3.080055647537924e-10,0.0,0.0,0.0,0.0,5.209630106705794e-08,5.209657938974495e-08,1.9664439744147198e-13,3.7276455725264764e-14,-1.4558378780933287e-22,-1.8126138655376957e-13,1511.5738510274548,1511.5738510343492,0.016255573456203848,0.0011458480804142036,8.909539772616881e-15,-2.4922008901029358e-12,397.5327372531915,397.532737246297,0.004275095527644433,0.000301349565921574,1.776174693435273e-13,2.792414736940696e-12
4.75e-06,120.16569371890404,121.0302774309214,6.42409501692461e-08,591.8704006610873,0.0,8.252606188704475e-08,0.0,2.177256367556365e-13,0.0,4.5000000017085116,4.500000001709204,4.87913417040341e-10,0.0,0.0,0.0,0.0,8.252606188704478e-08,8.252650331555132e-08,3.773272394073763e-13,2.177256367556365e-13,-1.5881867761018131e-22,-3.443672060976488e-13,1511.5854817402678,1511.5854817471647,0.031191687823390993,0.004450977689622813,1.3547843402683668e-13,-4.866742425724269e-12,397.5357961161158,397.53579610921867,0.00820318307888233,0.0011705741954954334,1.6172133077141382e-13,5.448159284826559e-12
8.125000000000001e-06,120.28400205272611,121.29431732867062,1.098858354636735e-07,591.8703968676493,0.0,1.2817025339975133e-07,0.0,9.382699876294194e-13,0.0,4.500000002921724,4.500000002923628,7.577742014968143e-10,0.0,0.0,0.0,0.0,1.2817025339975133e-07,1.281709394336695e-07,6.486952810627568e-13,9.382699876294194e-13,-1.5881867761018131e-22,-5.889726177202278e-13,1511.5994163035557,1511.5994163104554,0.05362427777860779,0.012948596439978467,-2.628522399739097e-13,-7.9935572050438e-12,397.5394609104259,397.5394609035252,0.014102788235809509,0.0034053850458631648,1.3271328480612965e-13,8.943443208231372e-12
1.31875e-05,120.4141645374771,121.57399064537285,1.7835316285678538e-07,591.8703911774921,0.0,1.9663520327300045e-07,0.0,3.3564160010330283e-12,0.0,4.500000004740435,4.500000004745252,1.162563458528228e-09,0.0,0.0,0.0,0.0,1.9663520327300045e-07,1.9663625609333172e-07,1.0561078447726745e-12,3.3564160010330283e-12,-1.0587911840678754e-22,-9.557590308000218e-13,1511.6145059695136,1511.6145059764194,0.08730296347997918,0.031537004307063125,3.026745520884333e-13,-1.3567119649948722e-11,397.5434295418286,397.5434295349225,0.022960033352802063,0.008293998765736001,3.123005326566286e-13,1.4523155247858632e-11
2.078125e-05,120.5381025687632,121.83871232125622,2.8105415271226245e-07,591.8703826422567,0.0,2.993290808131064e-07,0.0,1.0530424891988062e-11,0.0,4.500000007465994,4.500000007477681,1.7697441715386005e-09,0.0,0.0,0.0,0.0,2.993290808131064e-07,2.993306835363594e-07,1.6677042863349964e-12,1.0530424891988062e-11,-1.0587911840678754e-22,-1.505661952496174e-12,1511.628835945257,1511.6288359521704,0.13786047241856075,0.06776361968834992,1.961208973000339e-13,-2.1404378269807012e-11,397.547198460778,397.5471984538635,0.03625628407779175,0.017821330549682962,2.471009508120403e-13,2.2927625076274438e-11
3.2171875e-05,120.63757297736511,122.05101663843918,4.35105634718549e-07,591.870369839404,0.0,4.533613445758088e-07,0.0,2.98424042061191e-11,0.0,4.500000011548751,4.50000001157631,2.6805106954020447e-09,0.0,0.0,0.0,0.0,4.533613445758088e-07,4.533637715278901e-07,2.5856688447537956e-12,2.98424042061191e-11,-2.117582368135751e-22,-2.329890780906534e-12,1511.6403328113279,1511.640332818253,0.21374384618215764,0.13214875065968412,-2.9387603461827894e-13,-3.349043264933016e-11,397.55022241351406,397.5502224065872,0.05621304984021494,0.03475414358836196,2.1149748619109232e-13,3.522704350444883e-11
4.92578125e-05,120.70232151054442,122.18920195751761,6.661828514798885e-07,591.8703506351252,0.0,6.843905308839906e-07,0.0,7.801542398859302e-11,0.0,4.500000017660392,4.500000017724221,4.0466549678059004e-09,0.0,0.0,0.0,0.0,6.843905308839906e-07,6.843941927722599e-07,3.963171657102538e-12,7.801542398859302e-11,1.0587911840678754e-22,-3.564826968653693e-12,1511.6478158754273,1511.6478158823702,0.32761486637700965,0.2385346416741244,2.644828800413279e-13,-5.0667220419242653e-11,397.55219094700675,397.55219094006145,0.0861602855052559,0.06273284577914909,2.2662427490161008e-13,5.3659438004061144e-11
7.488671875e-05,120.73516978229223,122.25930568537972,1.0127986625636952e-06,591.8703218287084,0.0,1.0308926166715921e-06,0.0,1.91958150017359e-10,0.0,4.500000026799904,4.500000026946053,6.095865883273947e-09,0.0,0.0,0.0,0.0,1.0308926166715921e-06,1.030898127807314e-06,6.029848933817747e-12,1.91958150017359e-10,-4.235164736271502e-22,-5.41407442153103e-12,1511.651611564221,1511.6516115711895,0.4984563686980224,0.4055773575802865,2.592093206743584e-13,-7.636571930369485e-11,397.55318999948736,397.5531899925143,0.13109033638758133,0.10666384420845834,7.935319068508306e-14,8.125175532391893e-11
