time_days,pressure_min_bar,pressure_max_bar,generated_H2_kg,unreacted_accessible_Fe_kg,free_H2_kg,dissolved_H2_kg,gas_H2_out_kg,aqueous_H2_out_kg,max_gas_saturation,salinity_min_molal,salinity_max_molal,outlet_H2_mol_per_mol_water,separator_gas_H2_rate_kg_day,separator_H2_available_kg,collected_H2_kg,gross_electricity_kwh,H2_kg,native_H2_kg,H2_in_kg,H2_out_kg,H2_balance_kg,H2_exact_balance_kg,H2O_kg,native_H2O_kg,H2O_in_kg,H2O_out_kg,H2O_balance_kg,H2O_exact_balance_kg,NaCl_kg,native_NaCl_kg,NaCl_in_kg,NaCl_out_kg,NaCl_balance_kg,NaCl_exact_balance_kg
0.0,119.91084863636364,120.0,0.0,591.8704060000002,0.0,1.8285296483402113e-08,0.0,0.0,0.0,4.499999999999996,4.499999999999996,0.0,0.0,0.0,0.0,0.0,1.8285296483402113e-08,1.828539354470271e-08,0.0,0.0,0.0,0.0,1511.55874160424,1511.5587416111318,0.0,0.0,0.0,0.0,397.528763507227,397.5287635003351,0.0,0.0,0.0,0.0
1e-06,119.94114955708045,120.48143563015573,0.0,591.8704060000002,0.0,1.8285371179582e-08,0.0,1.9970864151483064e-15,0.0,4.499999999999996,4.499999999999996,1.0810744985903822e-10,0.0,0.0,0.0,0.0,1.8285371179581997e-08,1.82854682412791e-08,7.669366279630982e-14,1.9970864151483064e-15,9.92416048849345e-24,-3.964974481055802e-19,1511.5649163831815,1511.5649163900734,0.006339867727895999,0.00016508878636876712,8.588095512518379e-14,8.588095512518379e-14,397.53038742839516,397.5303874215034,0.001667338297378955,4.341712915701594e-05,6.674999095124257e-14,-4.6936846770373464e-14
2.4999999999999998e-06,120.03036664508998,120.78228244677105,0.0,591.8704060000002,0.0,1.828547926511832e-08,0.0,1.386171589999409e-14,0.0,4.499999999999996,4.499999999999996,1.0810744985903822e-10,0.0,0.0,0.0,0.0,1.828547926511832e-08,1.8285576327389152e-08,1.966444478401874e-13,1.386171589999409e-14,-4.5496752866772834e-20,-1.0157332892771713e-18,1511.5738513018703,1511.573851308762,0.016255577622404517,0.001145876231274011,-3.7610072417537666e-09,-3.760779868078323e-09,397.53273724589167,397.5327372390001,0.004275096623324383,0.00030135696933435483,-9.89022387425098e-10,-9.893066045194021e-10
4.75e-06,120.1656964910187,121.03028378657234,0.0,591.8704060000002,0.0,1.8285619964320796e-08,0.0,5.384468519596083e-14,0.0,4.499999999999996,4.499999999999996,1.0810744985903819e-10,0.0,0.0,0.0,0.0,1.82856199643208e-08,1.828571702733849e-08,3.773272924553529e-13,5.384468519596083e-14,2.8521073571448357e-20,-1.6885735291906286e-18,1511.585482237668,1511.5854822445594,0.031191692208592317,0.00445106113785736,2.356872506187324e-09,2.3573272535382106e-09,397.5357960959376,397.5357960890459,0.008203184232157844,0.0011705961413784336,6.200061930874967e-10,6.198356628309143e-10
8.125000000000001e-06,120.28400631732315,121.29432663826904,0.0,591.8704060000002,0.0,1.8285788534044457e-08,0.0,1.566423020428413e-13,0.0,4.499999999999996,4.499999999999996,1.0810744985903822e-10,0.0,0.0,0.0,0.0,1.828578853404446e-08,1.828588559795694e-08,6.486953287131955e-13,1.566423020428413e-13,2.275596059261631e-19,-2.3843227352141256e-18,1511.5994170972745,1511.5994171041662,0.05362428171762262,0.012948807493811994,1.881050343266466e-08,1.8810730806340104e-08,397.5394608608961,397.5394608540043,0.014102789271741294,0.0034054405496225333,4.947053811737989e-09,4.946996968319128e-09
1.31875e-05,120.41417046302223,121.5740034586491,0.0,591.8704060000002,0.0,1.828597107797959e-08,0.0,3.8151031879651224e-13,0.0,4.499999999999996,4.499999999999996,1.0810744985903819e-10,0.0,0.0,0.0,0.0,1.828597107797959e-08,1.828606814286105e-08,1.0561078856245608e-12,3.8151031879651224e-13,5.915138506407043e-19,-2.9893510211013525e-18,1511.6145071386707,1511.6145071455628,0.08730296685699299,0.03153748132255982,4.889654192652415e-08,4.889631455284871e-08,397.54342943011704,397.5434294232254,0.02296003424093177,0.008294124210289832,1.2859645738896863e-08,1.285941836522142e-08
2.078125e-05,120.53811007991992,121.83872843632959,0.0,591.8704060000002,0.0,1.8286144432890894e-08,0.0,8.197514190768735e-13,0.0,4.499999999999996,4.499999999999996,1.081074498590382e-10,0.0,0.0,0.0,0.0,1.82861444328909e-08,1.8286241498692543e-08,1.6677043220060997e-12,8.197514190768735e-13,1.0869051349827281e-18,-3.4141419199429184e-18,1511.6288375670465,1511.6288375739387,0.13786047536730578,0.06776460240926818,8.984878002715746e-08,8.984855265348202e-08,397.54719822673485,397.5471982198428,0.03625628485329009,0.017821588975189477,2.36295946490217e-08,2.3629765179278284e-08
3.2171875e-05,120.63758167850385,122.05103509763643,0.0,591.8704060000002,0.0,1.828628351675463e-08,0.0,1.5986318517417991e-12,0.0,4.499999999999996,4.499999999999996,1.0810744985903822e-10,0.0,0.0,0.0,0.0,1.8286283516754634e-08,1.828638058329456e-08,2.585668877981716e-12,1.5986318517417991e-12,1.5656104714238148e-18,-3.6737184412625604e-18,1511.640334970451,1511.6403349773432,0.21374384892893733,0.132150612138088,1.2942048727149214e-07,1.294202598978167e-07,397.55022195874943,397.5502219518574,0.056213050562598135,0.03475463307702632,3.403670639778866e-08,3.4036876928045245e-08
4.92578125e-05,120.70233084229142,122.18922155781576,0.0,591.8704060000002,0.0,1.8286374047417747e-08,0.0,2.885603824185957e-12,0.0,4.499999999999996,4.499999999999996,1.0810744985903818e-10,0.0,0.0,0.0,0.0,1.8286374047417747e-08,1.8286471114438234e-08,3.963171689851012e-12,2.885603824185957e-12,1.8698603749307916e-18,-3.850030695146841e-18,1511.6478187110256,1511.6478187179182,0.3276148690841559,0.2385379168685378,1.5457074442615237e-07,1.5457006230512604e-07,397.55219012714093,397.55219012024907,0.08616028621721612,0.06273370695446696,4.0651199184615905e-08,4.0651199184615905e-08
7.488671875e-05,120.73517932579888,122.25932562428684,0.0,591.8704060000002,0.0,1.8286419975144196e-08,0.0,4.906353248252368e-12,0.0,4.499999999999996,4.499999999999996,1.0810744985903822e-10,0.0,0.0,0.0,0.0,1.82864199751442e-08,1.8286517042408476e-08,6.029848966696197e-12,4.906353248252368e-12,1.987323563280319e-18,-3.976357485651392e-18,1511.6516153383577,1511.6516153452499,0.4984563714159134,0.40558280157861437,1.64280730408084e-07,1.6428050303440855e-07,397.55318861203415,397.55318860514205,0.1310903371023678,0.1066652755001083,4.3204677765973365e-08,4.320490513964881e-08
