sample,subgroup,n_readings,reading_numbers,Fe_n_detected,Fe_n_below_detection,Fe_n_missing,Fe_mean_ppm,Fe_sample_sd_ppm,Fe_sem_ppm,Fe_min_ppm,Fe_max_ppm,Fe_mean_reported_2sigma_ppm,Fe_nominal_instrument_1sigma_mean_ppm,Bal_n_detected,Bal_n_below_detection,Bal_n_missing,Bal_mean_ppm,Bal_sample_sd_ppm,Bal_sem_ppm,Bal_min_ppm,Bal_max_ppm,Bal_mean_reported_2sigma_ppm,Bal_nominal_instrument_1sigma_mean_ppm,Fe_mean_wt_percent,Fe_sample_sd_wt_percent,Fe_sem_wt_percent,Fe_nominal_instrument_1sigma_mean_wt_percent,mean_readwise_Fe_to_Bal,legacy_assumption_Mg_number_mean,reactive_ferrous_Fe_mol_per_kg_rock,magnetite_H2_mol_per_kg_rock,ferric_ceiling_H2_mol_per_kg_rock,magnetite_H2_kg_per_tonne_rock,ferric_ceiling_H2_kg_per_tonne_rock,magnetite_H2_sample_sd_kg_per_tonne_rock,ferric_ceiling_H2_sample_sd_kg_per_tonne_rock,magnetite_H2_sem_kg_per_tonne_rock,ferric_ceiling_H2_sem_kg_per_tonne_rock,magnetite_H2_nominal_instrument_1sigma_mean_kg_per_tonne_rock,ferric_ceiling_H2_nominal_instrument_1sigma_mean_kg_per_tonne_rock,capacity_assumption,subgroup_provenance
sample1,all readings,5,4458 4459 4460 4461 4462,5,0,0,58452.348439999994,1274.9639330699558,570.1812046409826,56946.7031,60300.2773,171.53726,38.36095418295666,5,0,0,935954.825,1749.0168356554632,782.1841076634387,934283.8125,938113.125,493.71646,110.43179147038457,5.845234843999999,0.12749639330699558,0.057018120464098265,0.003836095418295666,0.06245395374328744,0.9270682983906221,1.0466890221147818,0.34889634070492725,0.5233445110573909,0.7033331553002486,1.0549997329503729,0.015341118532826346,0.023011677799239523,0.00686075677805631,0.010291135167084466,0.0004615816415575173,0.0006923724623362759,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample2,all readings,5,4463 4464 4465 4466 4467,5,0,0,52533.442200000005,7656.558853750102,3424.1172141426196,40883.0391,58030.8008,169.18800000000002,37.881705669819034,5,0,0,942991.0625,8352.777569116792,3735.4756890961185,936423.8125,955512.4375,475.23654000000005,106.83785779955576,5.253344220000001,0.7656558853750102,0.34241172141426196,0.0037881705669819033,0.05577000570780891,0.9344357640207509,0.9407009078699974,0.3135669692899991,0.4703504539349987,0.6321133820523234,0.9481700730784851,0.09212823506788284,0.13819235260182428,0.041200999251773195,0.0618014988776598,0.00045581504059256147,0.0006837225608888422,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample3,all readings,6,4468 4469 4470 4471 4472 4473,6,0,0,73052.26561666666,4670.577463105691,1906.755264791945,65852.3359,78707.5547,207.47439999999997,42.351262312920234,6,0,0,921413.7604166666,4761.323724064406,1943.8022706943277,915573.9375,928707.125,681.6488666666668,139.1754384852647,7.305226561666665,0.4670577463105691,0.1906755264791945,0.004235126231292023,0.07930633530270229,0.9092031694980048,1.3081254475184287,0.43604181583947627,0.6540627237592144,0.8790079757144834,1.3185119635717248,0.05619914463440773,0.08429871695161159,0.02294320472252834,0.03441480708379251,0.0005095953840771757,0.0007643930761157636,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample4,all readings,15,4474 4475 4476 4477 4478 4479 4480 4481 4482 4483 4484 4485 4486 4487 4488,15,0,0,50937.16640666666,5685.04274521328,1467.8717249792219,42736.6523,59878.4922,160.5602466666667,20.738124263932896,15,0,0,944877.4208333333,5692.469578147949,1469.789324997291,935605.9375,952811.5625,407.9083933333333,52.74973333895875,5.093716640666666,0.568504274521328,0.1467871724979222,0.0020738124263932896,0.05394394491128835,0.9364206862214307,0.9121168664458172,0.3040389554819391,0.4560584332229086,0.6129060495769313,0.919359074365397,0.0684057896512403,0.10260868447686046,0.017662298940228093,0.026493448410342138,0.0002495333508889309,0.0003743000263333964,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample5,all readings,10,4489 4490 4491 4492 4493 4494 4495 4496 4497 4498,10,0,0,60388.77616000001,5249.676891293071,1660.0935956438263,56083.0781,72803.3516,175.44442999999998,27.789307615533982,10,0,0,933967.34375,5901.878230438036,1866.3377681148286,919637.3125,938009.75,505.00678000000005,80.52748548153824,6.038877616000001,0.5249676891293071,0.16600935956438265,0.0027789307615533982,0.06469277173688145,0.9246900309880267,1.0813640641060078,0.3604546880353359,0.5406820320530039,0.726633396516673,1.0899500947750094,0.06316721074175471,0.09475081611263206,0.019975225938379897,0.029962838907569848,0.0003343773506192893,0.0005015660259289341,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample6,all readings,5,4499 4500 4501 4502 4503,5,0,0,65929.2125,5587.20843612207,2498.675573525848,59112.957,74679.2422,173.00702,38.69219433849546,5,0,0,926253.0875,6264.9584459353655,2801.7745922645836,916962.25,933744.9375,515.298,115.47242404601454,6.59292125,0.5587208436122071,0.2498675573525848,0.0038692194338495463,0.07121273873672791,0.9177211865177988,1.1805750290983972,0.39352500969946574,0.5902875145491986,0.7932991965529589,1.1899487948294383,0.06722858950195339,0.10084288425293006,0.0300655392315593,0.04509830884733894,0.00046556731860856673,0.00069835097791285,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample7,all readings,10,4504 4505 4506 4507 4508 4509 4510 4511 4512 4513,10,0,0,63231.5336,4897.784467490173,1548.8154405863854,54733.2344,69407.2266,173.61547000000002,27.465281082575416,10,0,0,930037.58125,6186.775386375928,1956.430159281619,921519.5,939800.125,501.72454000000005,79.67732763169364,6.32315336,0.48977844674901727,0.15488154405863855,0.0027465281082575416,0.068021368519954,0.9211138797640844,1.1322684859880026,0.3774228286626675,0.5661342429940013,0.7608391318444981,1.1412586977667472,0.05893303340987906,0.08839955011481858,0.01863626149980173,0.02795439224970259,0.00033047847213264173,0.0004957177081989626,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
