sample,subgroup,n_readings,reading_numbers,element,n_detected,n_below_detection,n_missing,mean_basis,mean_ppm,sample_sd_ppm,sem_ppm,min_ppm,max_ppm,mean_reported_2sigma_ppm,nominal_instrument_1sigma_mean_ppm
sample2,all,5,4463 4464 4465 4466 4467,Nb,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,Ni,5,0,0,detected readings only; no imputation,2200.8397600000003,395.3365265469952,176.79986946954628,1595.4385,2512.5864,30.01544,6.739018923804859
sample2,all,5,4463 4464 4465 4466 4467,Pb,5,0,0,detected readings only; no imputation,15.900699999999997,9.37845245656233,4.194171443324652,7.8377,26.3278,1.4806599999999999,0.33287320303683204
sample2,all,5,4463 4464 4465 4466 4467,Pd,5,0,0,detected readings only; no imputation,38.16316,11.218525344402446,5.017077055477621,23.467,52.4375,7.17272,1.6046042205478581
sample2,all,5,4463 4464 4465 4466 4467,Rb,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,Re,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,Sb,1,4,0,detected readings only; no imputation,18.6382,,,18.6382,18.6382,14.7305,7.36525
sample2,all,5,4463 4464 4465 4466 4467,Se,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,Sn,1,4,0,detected readings only; no imputation,26.7769,,,26.7769,26.7769,9.5697,4.78485
sample2,all,5,4463 4464 4465 4466 4467,Sr,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,Ta,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,Th,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,Ti,0,5,0,detected readings only; no imputation,,,,,,,
sample2,all,5,4463 4464 4465 4466 4467,U,0,5,0,detected readings only; no imputation,,,,,,,
